rate,method,avg_e2e_ms,p95_e2e_ms,slo,throughput,goodput,batch,completion
0.1,PETALS-Adapted,2467.0101569512553,8770.856305400866,0.8734999999999999,0.10046482909763359,0.0878944325463489,1.0,1.0
0.1,EdgeShard-Adapted,2643.358533019886,9388.297424678884,0.8534999999999998,0.1004466938486462,0.0860028643411496,1.0,1.0
0.1,NODEGRAPH,2912.6402978506785,9853.024508671722,0.7994999999999999,0.10043083805027586,0.07926231542132899,1.0538308989919858,1.0
0.2,PETALS-Adapted,3520.2654928872494,11580.583948160081,0.7325,0.20008032201373838,0.1468745671644654,1.0,1.0
0.2,EdgeShard-Adapted,3853.0352228910424,12547.968743865955,0.7015,0.19987427721781095,0.1407708932960607,1.0,1.0
0.2,NODEGRAPH,4082.728798069159,12789.555826328926,0.7165,0.19980808916965262,0.14129277654410935,1.2037747645992016,1.0
0.3,NODEGRAPH,4888.110265731977,14144.923031941373,0.6295,0.29331365957263633,0.18481706601011022,1.3999438711566916,1.0
0.3,PETALS-Adapted,5975.867510470703,16465.613392067684,0.579,0.2956769610781278,0.17221286132481278,1.0,1.0
0.3,EdgeShard-Adapted,6698.3319408660755,18185.933116113352,0.5425000000000001,0.29485202924343173,0.16137187910490658,1.0,1.0
0.4,NODEGRAPH,5713.51625986138,15410.83246543253,0.5575,0.385907487712425,0.21724919498902917,1.6621204077523715,1.0
0.4,PETALS-Adapted,11104.762635037328,24136.076377219826,0.45200000000000007,0.37845239673390096,0.17751700899922765,1.0,1.0
0.4,EdgeShard-Adapted,12638.520655111994,26552.855575044458,0.40800000000000003,0.37471229065879824,0.1600387311755903,1.0,1.0
0.5,NODEGRAPH,7241.640441019862,22201.85554263283,0.5050000000000001,0.46720540820480416,0.24370363217219754,1.960863455865006,1.0
0.5,PETALS-Adapted,18077.070703432004,35111.481441887336,0.3544999999999999,0.4420930281795255,0.17251158544968032,1.0,1.0
0.5,EdgeShard-Adapted,20419.75903866217,39237.84288768559,0.31099999999999994,0.4338306792834006,0.15118032510098856,1.0,1.0
0.6,NODEGRAPH,8014.629922252476,24657.12735980306,0.457,0.5517129547427916,0.26329593072557256,2.289499537498132,1.0
0.6,PETALS-Adapted,25200.81496702247,47681.70850053553,0.2814999999999999,0.4917609361273959,0.163258011023678,1.0,1.0
0.6,EdgeShard-Adapted,28473.129543969968,54058.37158856228,0.23399999999999999,0.47874577395774953,0.13614182162835237,1.0,1.0
0.7,NODEGRAPH,10247.238200958456,31187.62986367353,0.4154999999999999,0.6162966635355581,0.2771336975230631,2.5307445897774308,1.0
0.7,PETALS-Adapted,31651.558022533038,59225.969904313984,0.22449999999999998,0.5299605620003861,0.14951928026851075,1.0,1.0
0.7,EdgeShard-Adapted,35901.798708970964,67365.63527146226,0.18799999999999997,0.5121125948951679,0.1258821247282526,1.0,1.0
