rate,method,avg_e2e_ms,p95_e2e_ms,slo,throughput,goodput,batch,completion
0.1,EdgeShard-Adapted,1297.3072774896523,4626.280970908451,0.9640000000000001,0.10059583333562745,0.09699879764304446,1.0,1.0
0.1,PETALS-Adapted,2467.0101569512553,8770.856305400866,0.8734999999999999,0.10046482909763359,0.0878944325463489,1.0,1.0
0.1,NODEGRAPH,2912.6402978506785,9853.024508671722,0.7994999999999999,0.10043083805027586,0.07926231542132899,1.0538308989919858,1.0
0.2,EdgeShard-Adapted,1532.4265782409493,5408.238713735718,0.9185000000000001,0.20081770181737135,0.18444200430300034,1.0,1.0
0.2,PETALS-Adapted,3520.2654928872494,11580.583948160081,0.7325,0.20008032201373838,0.1468745671644654,1.0,1.0
0.2,NODEGRAPH,4082.728798069159,12789.555826328926,0.7165,0.19980808916965262,0.14129277654410935,1.2037747645992016,1.0
0.4,EdgeShard-Adapted,2318.917461706604,7556.864231623991,0.788,0.3993405514656204,0.3135392407010027,1.0,1.0
0.4,NODEGRAPH,5713.51625986138,15410.83246543253,0.5575,0.385907487712425,0.21724919498902917,1.6621204077523715,1.0
0.4,PETALS-Adapted,11104.762635037328,24136.076377219826,0.45200000000000007,0.37845239673390096,0.17751700899922765,1.0,1.0
0.6,EdgeShard-Adapted,4128.707457956969,10617.436660062778,0.6134999999999999,0.5845429761412042,0.3583260695287299,1.0,1.0
0.6,NODEGRAPH,8014.629922252476,24657.12735980306,0.457,0.5517129547427916,0.26329593072557256,2.289499537498132,1.0
0.6,PETALS-Adapted,25200.81496702247,47681.70850053553,0.2814999999999999,0.4917609361273959,0.163258011023678,1.0,1.0
