episode,episode_seed,node_id,group_size,proposal_weight,baseline_batch_size,proposal_exists,proposal_changed,risk_reduction,utility_regret,baseline_risk,proposal_risk,baseline_utility,proposal_reference_utility,baseline_ids,proposal_ids
0,20007,edge_5,1,0.6,4,1,0,0.0,-8.881784197001252e-16,0.18936409112455774,0.18936409112455774,7.812774865332264,7.812774865332265,r0000|r0007|r0002|r0015,r0000|r0007|r0002|r0015
0,20007,edge_5,1,1.0,4,1,0,0.0,0.0,0.18936409112455774,0.18936409112455774,7.812774865332264,7.812774865332264,r0000|r0007|r0002|r0015,r0000|r0007|r0002|r0015
0,20007,cloud_0,1,0.6,4,1,0,0.0,0.0,0.10933510563862571,0.10933510563862571,8.182065207007199,8.182065207007199,r0000|r0007|r0002|r0015,r0000|r0007|r0002|r0015
0,20007,cloud_0,1,1.0,4,1,0,0.0,0.0,0.10933510563862571,0.10933510563862571,8.182065207007199,8.182065207007199,r0000|r0007|r0002|r0015,r0000|r0007|r0002|r0015
0,20007,edge_5,2,0.6,3,1,0,0.0,0.0,0.21180251925265847,0.21180251925265847,7.709709408333777,7.709709408333777,r0000|r0007|r0002,r0000|r0007|r0002
0,20007,edge_5,2,1.0,3,1,0,0.0,8.881784197001252e-16,0.21180251925265847,0.21180251925265847,7.709709408333777,7.709709408333776,r0000|r0007|r0002,r0000|r0007|r0002
0,20007,cloud_0,2,0.6,3,1,0,0.0,0.0,0.11850263869163569,0.11850263869163569,8.07940555452577,8.07940555452577,r0000|r0007|r0002,r0000|r0007|r0002
0,20007,cloud_0,2,1.0,3,1,0,0.0,-1.7763568394002505e-15,0.11850263869163569,0.11850263869163569,8.07940555452577,8.079405554525772,r0000|r0007|r0002,r0000|r0007|r0002
0,20007,edge_5,4,0.6,3,1,0,0.0,0.0,0.2690146871598027,0.2690146871598027,7.609774805689073,7.609774805689073,r0000|r0007|r0002,r0000|r0007|r0002
0,20007,edge_5,4,1.0,3,1,0,0.0,0.0,0.2690146871598027,0.2690146871598027,7.609774805689073,7.609774805689073,r0000|r0007|r0002,r0000|r0007|r0002
0,20007,cloud_0,4,0.6,3,1,0,0.0,0.0,0.1598092993761456,0.1598092993761456,7.967891676000017,7.967891676000017,r0000|r0007|r0002,r0000|r0007|r0002
0,20007,cloud_0,4,1.0,3,1,0,0.0,8.881784197001252e-16,0.1598092993761456,0.1598092993761456,7.967891676000017,7.967891676000016,r0000|r0007|r0002,r0000|r0007|r0002
0,20007,edge_5,8,0.6,3,1,0,0.0,0.0,0.38343902297409116,0.38343902297409116,7.479384736785221,7.479384736785221,r0000|r0007|r0002,r0000|r0007|r0002
0,20007,edge_5,8,1.0,3,1,0,0.0,0.0,0.38343902297409116,0.38343902297409116,7.479384736785221,7.479384736785221,r0000|r0007|r0002,r0000|r0007|r0002
0,20007,cloud_0,8,0.6,3,1,0,0.0,8.881784197001252e-16,0.24242262074516538,0.24242262074516538,7.840748493343201,7.8407484933432,r0000|r0007|r0002,r0000|r0007|r0002
0,20007,cloud_0,8,1.0,3,1,0,0.0,8.881784197001252e-16,0.24242262074516538,0.24242262074516538,7.840748493343201,7.8407484933432,r0000|r0007|r0002,r0000|r0007|r0002
1,20008,cloud_0,1,0.6,7,1,0,0.0,0.0,0.19026338822618924,0.19026338822618924,6.811427974512475,6.811427974512475,r0012|r0008|r0005|r0000|r0023|r0014|r0013,r0012|r0008|r0005|r0000|r0023|r0014|r0013
1,20008,cloud_0,1,1.0,7,1,0,0.0,0.0,0.19026338822618924,0.19026338822618924,6.811427974512475,6.811427974512475,r0012|r0008|r0005|r0000|r0023|r0014|r0013,r0012|r0008|r0005|r0000|r0023|r0014|r0013
