tag,parameter,value,episodes,completion,batch_size,avg_e2e_ms,p95_e2e_ms,slo,throughput,goodput,reward,avg_delta_pct,p95_delta_pct,slo_delta_pp,goodput_delta_pct
spread_x0p25,dp_alpha_output_spread,0.0005,20,1.0,1.4219264069264068,4471.0688584937,9542.967436480958,0.4666666666666667,0.3746222541550149,0.1838185363889053,-143.3051660151145,-0.16639666491496952,-3.2109650764226005,0.0,0.029244365767944203
spread_x0p5,dp_alpha_output_spread,0.001,20,1.0,1.4219264069264068,4471.0688584937,9542.967436480958,0.4666666666666667,0.3746222541550149,0.1838185363889053,-143.3051660151145,-0.16639666491496952,-3.2109650764226005,0.0,0.029244365767944203
gain_x2p0,dp_alpha_batch_gain,8.0,20,1.0,1.4719264069264066,4488.159650718649,9630.600311096194,0.4666666666666667,0.37685920838206055,0.1838185363889053,-141.10363821898997,0.21522022036886135,-2.322153350086531,0.0,0.029244365767944203
gain_x4p0,dp_alpha_batch_gain,16.0,20,1.0,1.4719264069264066,4804.358269245237,9733.4394212441,0.4666666666666667,0.3766164833549091,0.1838185363889053,-141.7550059734394,7.275556004980399,-1.2791131961859548,0.0,0.029244365767944203
padding_x0p25,dp_alpha_padding,0.000125,20,1.0,1.4419264069264066,4409.666130524945,9476.731040118428,0.4666666666666667,0.376086309818708,0.1838042981400238,-143.23048576002063,-1.5374459110207295,-3.882764170720776,0.0,0.021496282768862507
padding_x0p5,dp_alpha_padding,0.00025,20,1.0,1.4076406926406926,4481.321618556138,9810.270129536073,0.4666666666666667,0.3742443173161778,0.1837647955399449,-145.42961224884397,0.06253516627765521,-0.4998618618843098,0.0,0.0
base,base,1.0,20,1.0,1.3876406926406926,4478.520968022006,9859.55428113927,0.4666666666666667,0.3726094026659063,0.1837647955399449,-146.06393014613923,0.0,0.0,0.0,0.0
decode_x0p25,dp_alpha_decode,2.5e-05,20,1.0,1.3876406926406926,4478.520968022006,9859.55428113927,0.4666666666666667,0.3726094026659063,0.1837647955399449,-146.06393014613923,0.0,0.0,0.0,0.0
decode_x0p5,dp_alpha_decode,5e-05,20,1.0,1.3876406926406926,4478.520968022006,9859.55428113927,0.4666666666666667,0.3726094026659063,0.1837647955399449,-146.06393014613923,0.0,0.0,0.0,0.0
risk_x0p25,dp_alpha_deadline_risk,0.25,20,1.0,1.3876406926406926,4478.520968022006,9859.55428113927,0.4666666666666667,0.3726094026659063,0.1837647955399449,-146.06393014613923,0.0,0.0,0.0,0.0
risk_x0p5,dp_alpha_deadline_risk,0.5,20,1.0,1.3876406926406926,4478.520968022006,9859.55428113927,0.4666666666666667,0.3726094026659063,0.1837647955399449,-146.06393014613923,0.0,0.0,0.0,0.0
risk_x2p0,dp_alpha_deadline_risk,2.0,20,1.0,1.3876406926406926,4478.520968022006,9859.55428113927,0.4666666666666667,0.3726094026659063,0.1837647955399449,-146.06393014613923,0.0,0.0,0.0,0.0
risk_x4p0,dp_alpha_deadline_risk,4.0,20,1.0,1.3876406926406926,4478.520968022006,9859.55428113927,0.4666666666666667,0.3726094026659063,0.1837647955399449,-146.06393014613923,0.0,0.0,0.0,0.0
riskstart_0p5,deadline_risk_start,0.5,20,1.0,1.3876406926406926,4478.520968022006,9859.55428113927,0.4666666666666667,0.3726094026659063,0.1837647955399449,-146.06393014613923,0.0,0.0,0.0,0.0
riskstart_0p65,deadline_risk_start,0.65,20,1.0,1.3876406926406926,4478.520968022006,9859.55428113927,0.4666666666666667,0.3726094026659063,0.1837647955399449,-146.06393014613923,0.0,0.0,0.0,0.0
riskstart_0p9,deadline_risk_start,0.9,20,1.0,1.3876406926406926,4478.520968022006,9859.55428113927,0.4666666666666667,0.3726094026659063,0.1837647955399449,-146.06393014613923,0.0,0.0,0.0,0.0
riskstart_1p0,deadline_risk_start,1.0,20,1.0,1.3876406926406926,4478.520968022006,9859.55428113927,0.4666666666666667,0.3726094026659063,0.1837647955399449,-146.06393014613923,0.0,0.0,0.0,0.0
decode_x2p0,dp_alpha_decode,0.0002,20,1.0,1.3676406926406925,4476.185984758916,9876.032399539177,0.4666666666666667,0.3725018876444088,0.1837647955399449,-151.64031457729814,-0.05213737481107872,0.1671284312662058,0.0,0.0
decode_x4p0,dp_alpha_decode,0.0004,20,1.0,1.3676406926406925,4476.185984758916,9876.032399539177,0.4666666666666667,0.3725018876444088,0.1837647955399449,-151.64031457729814,-0.05213737481107872,0.1671284312662058,0.0,0.0
spread_x2p0,dp_alpha_output_spread,0.004,20,1.0,1.3676406926406925,4476.185984758916,9876.032399539177,0.4666666666666667,0.3725018876444088,0.1837647955399449,-151.64031457729814,-0.05213737481107872,0.1671284312662058,0.0,0.0
spread_x4p0,dp_alpha_output_spread,0.008,20,1.0,1.3426406926406926,4265.345701447901,9808.602532565648,0.4666666666666667,0.37126448894497566,0.1837118745332461,-158.40636777722594,-4.7599479403187095,-0.5167753746342152,0.0,-0.028798229031457012
